time,input,output,dexa,dexb,dexc,token0,token1,token2 
1651065421387,5,4.700469465015523,spooky,spooky,spooky,LQDR,FTM,SPIRIT
1651065421804,5,4.904316394178718,spooky,spooky,spooky,SPIRIT,FTM,LQDR
1651065422248,5,4.905036724937179,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1651065422634,5,4.700142695337555,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1651065423202,5,4.956118970032678,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1651065423583,5,4.690019075480525,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1651065424035,5,4.963552904963474,spooky,spirit,spirit,LQDR,FTM,SPIRIT
1651065424436,5,4.905219308118865,spooky,spirit,spirit,SPIRIT,FTM,LQDR
1651065424827,5,4.926560919979144,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1651065425179,5,4.718597352627812,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1651065425517,5,4.9209855888246015,spooky,solid,solid,LQDR,FTM,SPIRIT
1651065425958,5,4.903734512170867,spooky,solid,solid,SPIRIT,FTM,LQDR
1651065426331,5,4.904732278316719,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1651065426663,5,4.700997347202476,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1651065427017,5,4.690678966233732,spirit,spooky,spooky,LQDR,FTM,SPIRIT
1651065427329,5,4.905635096018859,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1651065427619,5,4.956120101686077,spirit,spooky,spooky,SPIRIT,FTM,LQDR
1651065427932,5,4.963552569493254,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1651065428237,5,4.904150350874461,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1651065428547,5,4.921159191902623,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1651065428913,5,4.905911016486298,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1651065429209,5,4.963552973234322,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1651065429525,5,4.956119247475992,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1651065429943,5,4.6912040336886385,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1651065430306,5,4.957032669018156,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1651065430739,5,4.952866457131715,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1651065431149,5,4.952867212056012,spirit,spirit,spirit,LQDR,FTM,SPIRIT
1651065431519,5,4.957032395062491,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1651065431850,5,4.957033433028223,spirit,spirit,spirit,SPIRIT,FTM,LQDR
1651065432205,5,4.9528662038599,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1651065432528,5,4.927459959823874,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1651065432827,5,4.983041342625073,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1651065433161,5,4.955531119912368,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1651065433665,5,4.910671162055036,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1651065434026,5,4.926467860819131,spirit,solid,solid,LQDR,SPIRIT,FTM
1651065434385,5,4.718853527628636,spirit,solid,solid,SPIRIT,LQDR,FTM
1651065434729,5,4.910498959769399,spirit,solid,solid,LQDR,FTM,SPIRIT
1651065435006,5,4.927375045635836,spirit,solid,solid,LQDR,SPIRIT,FTM
1651065435365,5,4.955531969183226,spirit,solid,solid,SPIRIT,FTM,LQDR
1651065435740,5,4.983040899165055,spirit,solid,solid,SPIRIT,LQDR,FTM
1651065436038,5,4.925883311120214,spirit,solid,solid,LQDR,SPIRIT,FTM
1651065436378,5,4.940284646502221,spirit,solid,solid,SPIRIT,LQDR,FTM
1651065436760,5,4.718320960087533,solid,spooky,spooky,LQDR,FTM,SPIRIT
1651065437093,5,4.926341204385109,solid,spooky,spooky,SPIRIT,FTM,LQDR
1651065437518,5,4.904473911650451,solid,spirit,spirit,FTM,LQDR,SPIRIT
1651065437937,5,4.9208781685572465,solid,spirit,spirit,FTM,SPIRIT,LQDR
1651065438278,5,4.955530794655198,solid,spirit,spirit,FTM,LQDR,SPIRIT
1651065438653,5,4.910282814496844,solid,spirit,spirit,FTM,SPIRIT,LQDR
1651065439063,5,4.9830405082105695,solid,spirit,spirit,LQDR,FTM,SPIRIT
1651065439407,5,4.927248545128878,solid,spirit,spirit,SPIRIT,FTM,LQDR
1651065439742,5,4.925982179351156,solid,spirit,spirit,FTM,LQDR,SPIRIT
1651065440129,5,4.940199071318036,solid,spirit,spirit,FTM,SPIRIT,LQDR
1651065440499,5,4.9401089760441685,solid,solid,solid,LQDR,FTM,SPIRIT
1651065440838,5,4.9257566651893745,solid,solid,solid,SPIRIT,FTM,LQDR
