time,input,output,dexa,dexb,dexc,token0,token1,token2 
1650584827647,2,1.9611930087741138,spooky,spooky,spooky,FTM,MIM,TOMB
1650584827991,2,1.9854178197059993,spooky,spooky,spooky,FTM,TOMB,MIM
1650584828263,2,1.9933772090742945,spooky,spooky,spooky,FTM,TOMB,BOO
1650584828603,2,1.9788862636912765,spooky,spooky,spooky,FTM,BOO,TOMB
1650584828895,2,1.9854507861342392,spooky,spooky,spooky,FTM,ETH,WBTC
1650584829176,2,1.9902291166451143,spooky,spooky,spooky,FTM,WBTC,ETH
1650584829417,2,1.9932088017613776,spooky,spooky,spooky,FTM,ICE,ANY
1650584829777,2,1.9797174524272225,spooky,spooky,spooky,FTM,ANY,ICE
1650584830043,2,1.9852072339945015,spooky,spooky,spooky,MIM,FTM,TOMB
1650584830419,2,1.9609272320834257,spooky,spooky,spooky,MIM,TOMB,FTM
1650584830748,2,1.9611620854898024,spooky,spooky,spooky,TOMB,FTM,MIM
1650584831066,2,1.9788822287155998,spooky,spooky,spooky,TOMB,FTM,BOO
1650584831333,2,1.9853268970457323,spooky,spooky,spooky,TOMB,MIM,FTM
1650584831879,2,1.9933654350642176,spooky,spooky,spooky,TOMB,BOO,FTM
1650584832222,2,1.9933088689797274,spooky,spooky,spooky,BOO,FTM,TOMB
1650584832504,2,1.978810803509326,spooky,spooky,spooky,BOO,TOMB,FTM
1650584832758,2,1.990136424568822,spooky,spooky,spooky,ETH,FTM,WBTC
1650584833113,2,1.9855683414997718,spooky,spooky,spooky,ETH,WBTC,FTM
1650584833420,2,1.98580324,spooky,spooky,spooky,WBTC,FTM,ETH
1650584833771,2,1.99029047,spooky,spooky,spooky,WBTC,ETH,FTM
1650584834118,2,1.9795932496573037,spooky,spooky,spooky,ICE,FTM,ANY
1650584834417,2,1.9930766489819038,spooky,spooky,spooky,ICE,ANY,FTM
1650584834742,2,1.9933024168913824,spooky,spooky,spooky,ANY,FTM,ICE
1650584835069,2,1.9798042802885873,spooky,spooky,spooky,ANY,ICE,FTM
1650584835436,2,1.9650168303506426,spooky,spooky,spooky,FTM,MIM,TOMB
1650584835763,2,1.9811673840037758,spooky,spooky,spooky,FTM,TOMB,MIM
1650584836083,2,1.979754237304156,spooky,spooky,spooky,FTM,BOO,TOMB
1650584836423,2,1.9793482319203373,spooky,spooky,spooky,FTM,ETH,WBTC
1650584836770,2,1.986153058996189,spooky,spooky,spooky,FTM,WBTC,ETH
1650584837091,2,1.9916947732555403,spooky,spooky,spooky,FTM,ICE,ANY
1650584837355,2,1.981701087450146,spooky,spooky,spooky,FTM,ANY,ICE
1650584837657,2,1.9604082270710812,spooky,spooky,spooky,DAI,FTM,MIM
1650584837927,2,1.966345724789947,spooky,spooky,spooky,DAI,FTM,SPIRIT
1650584838236,2,1.9692391654804147,spooky,spooky,spooky,LQDR,FTM,MIM
1650584838506,2,1.9737026130287902,spooky,spooky,spooky,LQDR,FTM,SPIRIT
1650584838806,2,1.9718534145062054,spooky,spooky,spooky,MIM,FTM,DAI
1650584839138,2,1.9814948394376402,spooky,spooky,spooky,MIM,FTM,LQDR
1650584839493,2,1.9611959168563886,spooky,spooky,spooky,MIM,TOMB,FTM
1650584839827,2,1.9739022121357184,spooky,spooky,spooky,TOMB,MIM,FTM
1650584840130,2,1.9848868960761983,spooky,spooky,spooky,TOMB,BOO,FTM
1650584840469,2,1.9627374427537163,spooky,spooky,spooky,SPIRIT,FTM,DAI
1650584840831,2,1.9566315098081488,spooky,spooky,spooky,SPIRIT,FTM,LQDR
1650584841173,2,1.9856565289759391,spooky,spooky,spooky,ETH,WBTC,FTM
1650584841511,2,1.99233012,spooky,spooky,spooky,WBTC,ETH,FTM
1650584841817,2,1.9870921927792404,spooky,spooky,spooky,ICE,ANY,FTM
1650584842192,2,1.9771814570239805,spooky,spooky,spooky,ANY,ICE,FTM
1650584842565,2,1.974730781630024,spooky,spooky,spooky,FTM,ETH,WBTC
1650584842905,2,1.9852824918123673,spooky,spooky,spooky,FTM,WBTC,ETH
1650584843211,2,1.9810175132910823,spooky,spooky,spooky,FTM,ANY,ICE
1650584843510,2,1.9844817511805963,spooky,spooky,spooky,DAI,FTM,ETH
1650584843792,2,1.9875602730976354,spooky,spooky,spooky,ETH,FTM,DAI
1650584844173,2,1.9872876437951852,spooky,spooky,spooky,ETH,FTM,WBTC
1650584844478,2,1.9865173092025292,spooky,spooky,spooky,ETH,WBTC,FTM
1650584844754,2,1.9845794500000002,spooky,spooky,spooky,WBTC,FTM,ETH
1650584845112,2,1.9947777000000002,spooky,spooky,spooky,WBTC,ETH,FTM
1650584845407,2,1.9877997609474178,spooky,spooky,spooky,ICE,ANY,FTM
1650584845678,2,1.9688357111955905,spooky,spooky,spooky,FTM,MIM,TOMB
1650584845972,2,1.970744881739237,spooky,spooky,spooky,FTM,TOMB,MIM
1650584846257,2,2.002345863387509,spooky,spooky,spooky,FTM,TOMB,BOO
1650584846534,2,1.9837712298495924,spooky,spooky,spooky,FTM,BOO,TOMB
1650584846819,2,1.9827095649821531,spooky,spooky,spooky,FTM,ETH,WBTC
1650584847117,2,1.9905916590454296,spooky,spooky,spooky,FTM,WBTC,ETH
1650584847404,2,1.9679677640481419,spooky,spooky,spooky,MIM,TOMB,FTM
1650584847713,2,1.9849717605008674,spooky,spooky,spooky,TOMB,MIM,FTM
1650584848066,2,1.9960281222581282,spooky,spooky,spooky,TOMB,BOO,FTM
1650584848358,2,1.966648634130661,spooky,spooky,spooky,BOO,TOMB,FTM
1650584848914,2,1.9922253436514876,spooky,spooky,spooky,ETH,WBTC,FTM
1650584849203,2,1.99763321,spooky,spooky,spooky,WBTC,ETH,FTM
1650584849479,2,1.9504255434120823,spooky,spooky,spooky,FTM,MIM,TOMB
1650584849823,2,1.965066766753982,spooky,spooky,spooky,FTM,BOO,TOMB
1650584850120,2,1.9842811663892919,spooky,spooky,spooky,TOMB,MIM,FTM
1650584850454,2,1.995333701737431,spooky,spooky,spooky,TOMB,BOO,FTM
1650584851004,2,1.9721021838050483,spooky,spirit,spirit,FTM,DAI,MIM
1650584851356,2,1.9620603101275897,spooky,spirit,spirit,FTM,DAI,SPIRIT
1650584851650,2,1.981612851954496,spooky,spirit,spirit,FTM,LQDR,MIM
1650584851905,2,1.9560277101153027,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650584852205,2,1.9606215044977087,spooky,spirit,spirit,FTM,MIM,DAI
1650584852477,2,1.9718797698082002,spooky,spirit,spirit,FTM,MIM,LQDR
1650584852775,2,1.9665828119441018,spooky,spirit,spirit,FTM,SPIRIT,DAI
1650584853095,2,1.972933016548231,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650584853330,2,1.9738414249087448,spooky,spirit,spirit,MIM,FTM,TOMB
1650584853625,2,1.964743174482231,spooky,spirit,spirit,MIM,TOMB,FTM
1650584853895,2,1.9614361563128202,spooky,spirit,spirit,TOMB,FTM,MIM
1650584854189,2,1.9810685889254342,spooky,spirit,spirit,TOMB,MIM,FTM
1650584854480,2,1.9847756140643793,spooky,spirit,spirit,BOO,FTM,TOMB
1650584854731,2,1.9796113710025685,spooky,spirit,spirit,BOO,TOMB,FTM
1650584855029,2,1.9921885343448318,spooky,spirit,spirit,ETH,FTM,WBTC
